gym_branch_id,members,churn_rate,activation_rate,avg_sessions_per_week,is_churn_outlier
BR-001,126,0.9603174603174603,0.19047619047619047,0.2908652503937483,False
BR-002,346,0.9479768786127167,0.21676300578034682,0.3009164856128228,False
BR-003,307,0.9413680781758957,0.18892508143322476,0.297079711564277,False
BR-004,349,0.9484240687679083,0.1833810888252149,0.29466083878921895,False
BR-005,561,0.9322638146167558,0.19964349376114082,0.29683101768978876,False
BR-006,98,0.9795918367346939,0.23469387755102042,0.285433710989004,False
BR-007,414,0.9565217391304348,0.1932367149758454,0.2939140236190616,False
BR-008,457,0.9518599562363238,0.1838074398249453,0.29301133039314853,False
BR-009,375,0.9146666666666666,0.16533333333333333,0.2919944008496408,False
BR-010,371,0.9326145552560647,0.1778975741239892,0.2893962066781679,False
BR-011,329,0.9483282674772037,0.1945288753799392,0.29675882625073313,False
BR-012,350,0.9514285714285714,0.2,0.2928802186497402,False
BR-013,497,0.9356136820925554,0.1790744466800805,0.3024664316398067,False
BR-014,233,0.9527896995708155,0.19313304721030042,0.2916110740441488,False
BR-015,332,0.9518072289156626,0.21987951807228914,0.29287268040903297,False
BR-016,359,0.9442896935933147,0.20055710306406685,0.29657393926446257,False
BR-017,988,0.944331983805668,0.1902834008097166,0.2968045746164917,False
BR-018,1008,0.9295634920634921,0.19146825396825398,0.29328916099514973,False
BR-019,243,0.9465020576131687,0.11522633744855967,0.297423333985138,False
BR-020,307,0.9315960912052117,0.20195439739413681,0.2946078119101093,False
BR-021,118,0.9576271186440678,0.1864406779661017,0.2854966713636814,False
BR-022,359,0.9303621169916435,0.17270194986072424,0.29582093011382926,False
BR-023,106,0.9245283018867925,0.16037735849056603,0.2947269961471074,False
BR-024,291,0.9072164948453608,0.16494845360824742,0.29906805428398336,False
BR-025,132,0.9621212121212122,0.1893939393939394,0.2999057289018993,False
BR-026,625,0.9424,0.1872,0.2945887295647273,False
BR-027,342,0.9152046783625731,0.1695906432748538,0.29515162121910105,False
BR-028,531,0.943502824858757,0.1958568738229755,0.2982779913609204,False
BR-029,462,0.9329004329004329,0.19480519480519481,0.29531758798823105,False
BR-030,185,0.9567567567567568,0.1783783783783784,0.2928259058193269,False
BR-031,651,0.9416282642089093,0.17665130568356374,0.29389843486160755,False
BR-032,103,0.9514563106796117,0.1553398058252427,0.3027700051769445,False
BR-033,1592,0.9434673366834171,0.19158291457286433,0.29676394299018855,False
BR-034,643,0.9471228615863142,0.18351477449455678,0.2983230513311461,False
BR-035,341,0.9266862170087976,0.16129032258064516,0.2974997956439324,False
BR-036,350,0.9228571428571428,0.16857142857142857,0.30126674597279496,False
BR-037,386,0.9455958549222798,0.19430051813471502,0.2943095615381034,False
BR-038,1127,0.9414374445430346,0.18722271517302574,0.2963854331000511,False
BR-039,366,0.9371584699453552,0.21584699453551912,0.2966968133962123,False
BR-040,196,0.9540816326530612,0.1989795918367347,0.2964106476853066,False
