join_month,members,activation_rate
2021-01,491,0.23421588594704684
2021-02,260,0.14615384615384616
2021-03,192,0.203125
2021-04,150,0.13333333333333333
2021-05,183,0.18032786885245902
2021-06,161,0.13043478260869565
2021-07,168,0.11904761904761904
2021-08,157,0.1337579617834395
2021-09,185,0.12972972972972974
2021-10,317,0.14195583596214512
2021-11,282,0.1524822695035461
2021-12,200,0.15
2022-01,590,0.2711864406779661
2022-02,305,0.1540983606557377
2022-03,239,0.18828451882845187
2022-04,215,0.14883720930232558
2022-05,182,0.14285714285714285
2022-06,199,0.15577889447236182
2022-07,180,0.15555555555555556
2022-08,189,0.14285714285714285
2022-09,186,0.14516129032258066
2022-10,351,0.13675213675213677
2022-11,364,0.17032967032967034
2022-12,273,0.17582417582417584
2023-01,697,0.24103299856527977
2023-02,323,0.13003095975232198
2023-03,250,0.144
2023-04,238,0.19747899159663865
2023-05,243,0.21810699588477367
2023-06,205,0.15121951219512195
2023-07,177,0.14689265536723164
2023-08,221,0.13122171945701358
2023-09,251,0.13545816733067728
2023-10,415,0.10602409638554217
2023-11,397,0.15113350125944586
2023-12,294,0.17006802721088435
2024-01,739,0.2746955345060893
2024-02,408,0.1323529411764706
2024-03,300,0.13333333333333333
2024-04,242,0.23140495867768596
2024-05,269,0.17843866171003717
2024-06,244,0.13524590163934427
2024-07,212,0.1179245283018868
2024-08,226,0.1504424778761062
2024-09,274,0.15328467153284672
2024-10,403,0.14640198511166252
2024-11,467,0.16488222698072805
2024-12,281,0.22419928825622776
2025-01,781,0.29833546734955185
2025-02,451,0.2017738359201774
2025-03,364,0.17857142857142858
2025-04,309,0.2621359223300971
2025-05,314,0.25796178343949044
2025-06,289,0.21453287197231835
2025-07,235,0.2553191489361702
2025-08,243,0.24279835390946503
2025-09,175,0.3657142857142857
