artifact,type,path
pr10_behavioural_segment_profiles.png,static_chart,../reports/figures/pr10_behavioural_segment_profiles.png
pr10_funnel_dropoff.png,static_chart,../reports/figures/pr10_funnel_dropoff.png
pr11_branch_churn_anomalies.png,static_chart,../reports/figures/pr11_branch_churn_anomalies.png
pr11_weekly_engagement_anomalies.png,static_chart,../reports/figures/pr11_weekly_engagement_anomalies.png
pr12_activation_by_branch.png,static_chart,../reports/figures/pr12_activation_by_branch.png
pr12_activation_cohort_trend.png,static_chart,../reports/figures/pr12_activation_cohort_trend.png
pr8_categorical_distributions.png,static_chart,../reports/figures/pr8_categorical_distributions.png
pr8_correlation_heatmap.png,static_chart,../reports/figures/pr8_correlation_heatmap.png
pr8_numeric_distributions.png,static_chart,../reports/figures/pr8_numeric_distributions.png
pr9_channel_membership_mix.png,static_chart,../reports/figures/pr9_channel_membership_mix.png
pr9_churn_by_segment.png,static_chart,../reports/figures/pr9_churn_by_segment.png
pr9_signups_renewals_trend.png,static_chart,../reports/figures/pr9_signups_renewals_trend.png
pr9_weekly_engagement_trend.png,static_chart,../reports/figures/pr9_weekly_engagement_trend.png
pr13_activation_by_segment_interactive.html,interactive_chart,../reports/figures/interactive/pr13_activation_by_segment_interactive.html
pr13_activation_cohort_interactive.html,interactive_chart,../reports/figures/interactive/pr13_activation_cohort_interactive.html
pr13_branch_risk_bubble_interactive.html,interactive_chart,../reports/figures/interactive/pr13_branch_risk_bubble_interactive.html
pr13_weekly_engagement_interactive.html,interactive_chart,../reports/figures/interactive/pr13_weekly_engagement_interactive.html
pr14_at_risk_signal_mix.html,interactive_chart,../reports/figures/interactive/pr14_at_risk_signal_mix.html
pr14_kpi_card_grid.html,interactive_chart,../reports/figures/interactive/pr14_kpi_card_grid.html
pr15_executive_one_pager.html,interactive_chart,../reports/figures/interactive/pr15_executive_one_pager.html
activation_cohort_trend.csv,data_csv,../data/processed/activation_cohort_trend.csv
activation_segment_comparison.csv,data_csv,../data/processed/activation_segment_comparison.csv
at_risk_members.csv,data_csv,../data/processed/at_risk_members.csv
branch_risk_summary.csv,data_csv,../data/processed/branch_risk_summary.csv
insight_narrative.csv,data_csv,../data/processed/insight_narrative.csv
kpi_cards_spec.csv,data_csv,../data/processed/kpi_cards_spec.csv
kpi_summary.csv,data_csv,../data/processed/kpi_summary.csv
member_behaviour_summary.csv,data_csv,../data/processed/member_behaviour_summary.csv
streakforge_features.csv,data_csv,../data/processed/streakforge_features.csv
streakforge_merged.csv,data_csv,../data/processed/streakforge_merged.csv
weekly_engagement_anomalies.csv,data_csv,../data/processed/weekly_engagement_anomalies.csv
insight_summary.md,report,../reports/insight_summary.md
