streak_id,member_id,streak_type,streak_start_date,streak_end_date,streak_length_days,break_reason,longest_streak_flag,is_streak_ongoing,is_length_outlier_iqr,is_length_outlier_zscore
STR-023253,MBR-017089,Gym-Attendance Streak,2024-07-03,2024-07-27,25,Illness,False,False,False,False
STR-030023,MBR-016070,Gym-Attendance Streak,2021-06-05,2021-06-18,14,Motivation Loss,False,False,False,False
STR-015878,MBR-014486,Gym-Attendance Streak,2023-07-21,2023-08-11,22,Monsoon Disruption,True,False,False,False
STR-012062,MBR-013084,Gym-Attendance Streak,2024-09-17,2024-10-25,39,Festival/Holiday,True,False,False,False
STR-008170,MBR-017255,Gym-Attendance Streak,2025-09-18,2025-09-18,1,Illness,True,False,False,False
STR-009371,MBR-007496,Gym-Attendance Streak,2023-02-26,2023-03-20,23,Unknown,True,False,False,False
STR-008643,MBR-000809,Gym-Attendance Streak,2023-06-14,2023-06-27,14,Unknown,True,False,False,False
STR-017738,MBR-014504,Gym-Attendance Streak,2023-06-16,2023-07-21,36,Festival/Holiday,True,False,False,False
STR-011950,MBR-015744,App-Log Streak,2023-08-06,2023-08-18,13,Illness,True,False,False,False
STR-005915,MBR-006063,App-Log Streak,2025-02-06,2025-02-23,18,Motivation Loss,True,False,False,False
STR-015257,MBR-011554,Gym-Attendance Streak,2024-01-23,2024-01-24,2,Motivation Loss,False,False,False,False
STR-003012,MBR-009658,App-Log Streak,2023-12-11,2023-12-20,10,Unknown,False,False,False,False
STR-030106,MBR-011588,Gym-Attendance Streak,2023-11-18,2023-12-01,14,Illness,False,False,False,False
STR-026372,MBR-001599,Gym-Attendance Streak,2022-09-27,2022-11-02,37,Motivation Loss,True,False,False,False
STR-011822,MBR-009362,Gym-Attendance Streak,2025-03-26,2025-04-06,12,Work Pressure,True,False,False,False
STR-025539,MBR-015228,App-Log Streak,2021-07-10,2021-08-24,46,Work Pressure,True,False,False,False
STR-014247,MBR-003576,Gym-Attendance Streak,2022-08-18,2022-09-12,26,Work Pressure,False,False,False,False
STR-017200,MBR-014820,Gym-Attendance Streak,2025-04-12,2025-05-02,21,Unknown,False,False,False,False
STR-032811,MBR-007424,Gym-Attendance Streak,2025-02-27,2025-03-02,4,Festival/Holiday,False,False,False,False
STR-003150,MBR-015281,Gym-Attendance Streak,2024-11-13,2024-11-26,14,Unknown,True,False,False,False
STR-037098,MBR-006611,Gym-Attendance Streak,2024-09-25,2024-12-17,84,Unknown,False,False,True,False
STR-009892,MBR-005249,App-Log Streak,2025-09-17,2025-09-29,13,Unknown,True,False,False,False
STR-039094,MBR-011250,App-Log Streak,2021-11-26,2021-12-04,9,Unknown,False,False,False,False
STR-015849,MBR-008144,Gym-Attendance Streak,2023-03-12,2023-03-20,9,Festival/Holiday,False,False,False,False
STR-012018,MBR-009002,Gym-Attendance Streak,2024-03-29,2024-04-23,26,Unknown,True,False,False,False
STR-019754,MBR-006095,App-Log Streak,2022-10-01,2022-10-24,24,Festival/Holiday,False,False,False,False
STR-008151,MBR-011686,Gym-Attendance Streak,2021-08-10,2021-08-13,4,Unknown,False,False,False,False
STR-024694,MBR-000468,App-Log Streak,2023-03-03,2023-03-08,6,Unknown,False,False,False,False
STR-034178,MBR-011271,Gym-Attendance Streak,2024-01-13,2024-01-21,9,Unknown,False,False,False,False
STR-012186,MBR-004732,App-Log Streak,2025-04-15,2025-04-18,4,Travel,False,False,False,False
STR-036655,MBR-004690,App-Log Streak,2022-06-18,2022-07-01,14,Work Pressure,False,False,False,False
STR-010064,MBR-016914,App-Log Streak,2022-03-30,2022-07-27,120,Monsoon Disruption,True,False,True,False
STR-010936,MBR-006961,Gym-Attendance Streak,2025-03-07,2025-03-15,9,Unknown,False,False,False,False
STR-012051,MBR-001396,Gym-Attendance Streak,2022-12-24,2023-01-22,30,Injury,True,False,False,False
STR-018374,MBR-004218,App-Log Streak,2022-12-05,2022-12-13,9,Festival/Holiday,True,False,False,False
STR-000332,MBR-002408,Gym-Attendance Streak,2025-08-02,2025-08-13,12,Injury,False,False,False,False
STR-011695,MBR-011839,Gym-Attendance Streak,2025-06-13,,110,Ongoing,True,True,True,False
STR-001154,MBR-002387,App-Log Streak,2023-01-25,2023-01-31,7,Illness,False,False,False,False
STR-023395,MBR-005144,Gym-Attendance Streak,2022-02-15,2022-02-20,6,Travel,False,False,False,False
STR-001783,MBR-003867,App-Log Streak,2025-06-05,2025-06-17,13,Unknown,False,False,False,False
STR-028334,MBR-001768,App-Log Streak,2023-08-04,2023-08-06,3,Motivation Loss,False,False,False,False
STR-021449,MBR-005578,App-Log Streak,2024-04-18,2024-04-22,5,Illness,False,False,False,False
STR-004673,MBR-014320,App-Log Streak,2023-04-23,2023-06-12,51,Unknown,True,False,False,False
STR-020262,MBR-014351,Gym-Attendance Streak,2024-01-27,2024-02-09,14,Work Pressure,False,False,False,False
STR-037052,MBR-004672,App-Log Streak,2024-01-03,2024-01-07,5,Unknown,False,False,False,False
STR-035022,MBR-006189,Gym-Attendance Streak,2022-03-15,2022-04-07,24,Monsoon Disruption,False,False,False,False
STR-015846,MBR-009982,Gym-Attendance Streak,2023-10-26,2023-12-25,61,Unknown,True,False,True,False
STR-036253,MBR-014716,Gym-Attendance Streak,2022-02-14,2022-02-16,3,Unknown,True,False,False,False
STR-029946,MBR-005839,App-Log Streak,2023-01-27,2023-02-02,7,Unknown,False,False,False,False
STR-008437,MBR-001151,Gym-Attendance Streak,2022-01-13,2022-01-28,16,Work Pressure,False,False,False,False
STR-007566,MBR-008005,App-Log Streak,2023-10-20,2023-10-31,12,Festival/Holiday,False,False,False,False
STR-011131,MBR-005860,App-Log Streak,2025-07-13,2025-07-29,17,Travel,True,False,False,False
STR-028868,MBR-003241,Gym-Attendance Streak,2022-02-11,2022-02-20,10,Unknown,True,False,False,False
STR-010431,MBR-003362,Gym-Attendance Streak,2023-05-27,2023-06-02,7,Unknown,False,False,False,False
STR-023554,MBR-015107,Gym-Attendance Streak,2024-12-15,2024-12-23,9,Unknown,True,False,False,False
STR-006399,MBR-001464,App-Log Streak,2023-04-26,2023-05-13,18,Injury,True,False,False,False
STR-018098,MBR-015525,App-Log Streak,2025-03-22,2025-04-22,32,Unknown,False,False,False,False
STR-001558,MBR-014003,App-Log Streak,2021-09-19,2021-09-27,9,Unknown,True,False,False,False
