checkin_id,member_id,branch_id,checkin_datetime,checkout_datetime,workout_type,trainer_id,duration_minutes,is_checkout_missing,day_of_week,checkin_hour,actual_duration_minutes,season_tag,is_duration_outlier
CHK-000001,MBR-011948,BR-018,2021-01-03 07:26:51,2021-01-03 08:59:51,Group Class,Self-Guided,96,False,Sunday,7,93.0,Winter,False
CHK-000002,MBR-000791,BR-016,2021-01-03 07:39:23,2021-01-03 08:18:23,Strength Training,Self-Guided,40,False,Sunday,7,39.0,Winter,False
CHK-000003,MBR-009562,BR-008,2021-01-03 20:14:12,2021-01-03 21:59:12,Cardio,Self-Guided,106,False,Sunday,20,105.0,Winter,False
CHK-000004,MBR-000933,BR-025,2021-01-04 21:07:08,2021-01-04 22:17:08,Strength Training,Self-Guided,71,False,Monday,21,70.0,Winter,False
CHK-000005,MBR-014767,BR-008,2021-01-05 04:27:07,2021-01-05 05:58:07,Cardio,Self-Guided,90,False,Tuesday,4,91.0,Winter,False
CHK-000006,MBR-004868,BR-038,2021-01-05 18:17:29,2021-01-05 18:56:29,Cardio,Self-Guided,41,False,Tuesday,18,39.0,Winter,False
CHK-000007,MBR-013111,BR-004,2021-01-05 18:47:18,2021-01-05 19:29:18,Strength Training,Self-Guided,40,False,Tuesday,18,42.0,Winter,False
CHK-000008,MBR-016411,BR-037,2021-01-05 19:54:12,2021-01-05 20:30:12,Cardio,Self-Guided,33,False,Tuesday,19,36.0,Winter,False
CHK-000009,MBR-000580,BR-017,2021-01-05 20:53:22,2021-01-05 21:47:22,Cardio,Self-Guided,53,False,Tuesday,20,54.0,Winter,False
CHK-000010,MBR-014767,BR-008,2021-01-06 17:48:38,2021-01-06 18:12:38,Cardio,Self-Guided,24,False,Wednesday,17,24.0,Winter,False
CHK-000011,MBR-000933,BR-018,2021-01-06 19:44:53,2021-01-06 20:22:53,Cardio,Self-Guided,42,False,Wednesday,19,38.0,Winter,False
CHK-000012,MBR-011130,BR-030,2021-01-07 18:09:25,2021-01-07 19:46:25,Strength Training,Self-Guided,98,False,Thursday,18,97.0,Winter,False
CHK-000013,MBR-014829,BR-008,2021-01-07 20:29:20,2021-01-07 21:02:20,Strength Training,Self-Guided,35,False,Thursday,20,33.0,Winter,False
CHK-000014,MBR-009586,BR-003,2021-01-07 21:17:09,2021-01-07 22:04:09,Group Class,Self-Guided,42,False,Thursday,21,47.0,Winter,False
CHK-000015,MBR-014009,BR-002,2021-01-09 12:12:05,2021-01-09 12:58:05,Cardio,Self-Guided,41,False,Saturday,12,46.0,Winter,False
CHK-000016,MBR-016897,BR-022,2021-01-10 10:31:07,2021-01-10 11:29:07,Group Class,Self-Guided,55,False,Sunday,10,58.0,Winter,False
CHK-000017,MBR-001720,BR-026,2021-01-11 11:35:01,2021-01-11 12:43:01,Strength Training,Self-Guided,71,False,Monday,11,68.0,Winter,False
CHK-000018,MBR-004259,BR-032,2021-01-11 16:22:49,,Strength Training,Self-Guided,61,True,Monday,16,,Winter,False
CHK-000019,MBR-016897,BR-022,2021-01-11 18:49:02,2021-01-11 20:09:02,Cardio,Self-Guided,82,False,Monday,18,80.0,Winter,False
CHK-000020,MBR-002230,BR-033,2021-01-11 19:28:07,2021-01-11 20:26:07,Cardio,Self-Guided,53,False,Monday,19,58.0,Winter,False
