checkin_id,member_id,branch_id,checkin_datetime,checkout_datetime,workout_type,trainer_id,duration_minutes
CHK-000001,MBR-011948,BR-018,2021-01-03 07:26:51,2021-01-03 08:59:51,Group Class,,96
CHK-000002,MBR-000791,BR-016,2021-01-03 07:39:23,2021-01-03 08:18:23,Strength Training,,40
CHK-000003,MBR-009562,BR-008,2021-01-03 20:14:12,2021-01-03 21:59:12,Cardio,,106
CHK-000004,MBR-000933,BR-025,2021-01-04 21:07:08,2021-01-04 22:17:08,Strength Training,,71
CHK-000005,MBR-014767,BR-008,2021-01-05 04:27:07,2021-01-05 05:58:07,Cardio,,90
CHK-000006,MBR-004868,BR-038,2021-01-05 18:17:29,2021-01-05 18:56:29,Cardio,,41
CHK-000007,MBR-013111,BR-004,2021-01-05 18:47:18,2021-01-05 19:29:18,Strength Training,,40
CHK-000008,MBR-016411,BR-037,2021-01-05 19:54:12,2021-01-05 20:30:12,Cardio,,33
CHK-000009,MBR-000580,BR-017,2021-01-05 20:53:22,2021-01-05 21:47:22,Cardio,,53
CHK-000010,MBR-014767,BR-008,2021-01-06 17:48:38,2021-01-06 18:12:38,Cardio,,24
CHK-000011,MBR-000933,BR-018,2021-01-06 19:44:53,2021-01-06 20:22:53,Cardio,,42
CHK-000012,MBR-011130,BR-030,2021-01-07 18:09:25,2021-01-07 19:46:25,Strength Training,,98
CHK-000013,MBR-014829,BR-008,2021-01-07 20:29:20,2021-01-07 21:02:20,Strength Training,,35
CHK-000014,MBR-009586,BR-003,2021-01-07 21:17:09,2021-01-07 22:04:09,Group Class,,42
CHK-000015,MBR-014009,BR-002,2021-01-09 12:12:05,2021-01-09 12:58:05,Cardio,,41
CHK-000016,MBR-016897,BR-022,2021-01-10 10:31:07,2021-01-10 11:29:07,Group Class,,55
CHK-000017,MBR-001720,BR-026,2021-01-11 11:35:01,2021-01-11 12:43:01,Strength Training,,71
CHK-000018,MBR-004259,BR-032,2021-01-11 16:22:49,,Strength Training,,61
CHK-000019,MBR-016897,BR-022,2021-01-11 18:49:02,2021-01-11 20:09:02,Cardio,,82
CHK-000020,MBR-002230,BR-033,2021-01-11 19:28:07,2021-01-11 20:26:07,Cardio,,53
CHK-000021,MBR-007434,BR-038,2021-01-11 21:06:36,2021-01-11 22:26:36,Cardio,,79
CHK-000022,MBR-007099,BR-033,2021-01-12 10:40:42,2021-01-12 11:27:42,Group Class,,45
CHK-000023,MBR-015768,BR-037,2021-01-12 19:14:20,2021-01-12 20:01:20,Cardio,,45
CHK-000024,MBR-013666,BR-018,2021-01-12 19:15:36,2021-01-12 20:44:36,Strength Training,,87
CHK-000025,MBR-013993,BR-038,2021-01-12 20:09:10,2021-01-12 21:28:10,Cardio,,77
CHK-000026,MBR-006896,BR-021,2021-01-12 21:25:38,2021-01-12 22:13:38,Cardio,,51
CHK-000027,MBR-001324,BR-033,2021-01-12 21:27:55,2021-01-12 22:37:55,Group Class,,65
CHK-000028,MBR-014377,BR-007,2021-01-12 21:38:22,,Personal Training Session,TR-024,55
CHK-000029,MBR-005454,BR-029,2021-01-12 21:47:45,2021-01-12 22:41:45,Cardio,,55
CHK-000030,MBR-003287,BR-018,2021-01-13 10:55:33,2021-01-13 11:47:33,Strength Training,,53
CHK-000031,MBR-011908,BR-016,2021-01-13 13:14:04,2021-01-13 13:50:04,Strength Training,,32
CHK-000032,MBR-010481,BR-026,2021-01-13 13:34:44,2021-01-13 14:40:44,Personal Training Session,TR-035,70
CHK-000033,MBR-008937,BR-011,2021-01-13 21:14:34,2021-01-13 22:51:34,Cardio,,94
CHK-000034,MBR-003259,BR-039,2021-01-14 11:10:03,2021-01-14 11:57:03,Strength Training,,50
CHK-000035,MBR-015138,BR-034,2021-01-14 11:23:55,2021-01-14 13:01:55,Cardio,,98
CHK-000036,MBR-005059,BR-027,2021-01-14 19:16:18,2021-01-14 20:16:18,Cardio,,58
CHK-000037,MBR-001627,BR-026,2021-01-14 21:06:33,2021-01-14 21:57:33,Group Class,,54
CHK-000038,MBR-011894,BR-033,2021-01-15 15:04:36,2021-01-15 15:58:36,Cardio,,53
CHK-000039,MBR-002055,BR-005,2021-01-15 18:42:43,2021-01-15 19:51:43,Group Class,,67
CHK-000040,MBR-010643,BR-013,2021-01-15 21:01:37,2021-01-15 22:14:37,Cardio,,70
CHK-000041,MBR-007434,BR-038,2021-01-16 11:55:21,2021-01-16 12:51:21,Cardio,,55
CHK-000042,MBR-000853,BR-037,2021-01-16 12:32:50,2021-01-16 13:52:50,Group Class,,81
CHK-000043,MBR-000703,BR-018,2021-01-16 18:42:54,2021-01-16 19:26:54,Group Class,,42
CHK-000044,MBR-010481,BR-026,2021-01-18 08:49:44,2021-01-18 09:43:44,Strength Training,,55
CHK-000045,MBR-001538,BR-024,2021-01-18 20:21:29,2021-01-18 21:21:29,Cardio,,58
CHK-000046,MBR-001627,BR-026,2021-01-18 20:43:08,2021-01-18 22:02:08,Cardio,,81
CHK-000047,MBR-009586,BR-003,2021-01-18 21:29:25,2021-01-18 23:16:25,Cardio,,106
CHK-000048,MBR-007678,BR-037,2021-01-19 07:08:29,2021-01-19 08:41:29,Strength Training,,94
CHK-000049,MBR-009242,BR-026,2021-01-19 08:54:26,2021-01-19 09:39:26,Cardio,,47
CHK-000050,MBR-004649,BR-017,2021-01-19 18:36:57,2021-01-19 19:27:57,Cardio,,49
CHK-000051,MBR-008043,BR-012,2021-01-19 20:41:32,2021-01-19 21:52:32,Cardio,,67
CHK-000052,MBR-009955,BR-039,2021-01-20 06:55:30,,Strength Training,,62
CHK-000053,MBR-002529,BR-005,2021-01-20 08:12:26,2021-01-20 08:57:26,Strength Training,,41
CHK-000054,MBR-011382,BR-010,2021-01-20 16:47:26,2021-01-20 17:47:26,Strength Training,,56
CHK-000055,MBR-006086,BR-008,2021-01-20 18:41:28,2021-01-20 20:15:28,Group Class,,93
CHK-000056,MBR-010481,BR-026,2021-01-20 20:09:06,2021-01-20 21:25:06,Strength Training,,75
